family,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,level,model_full,problem_id,tep,cci,inject_at_step,cluster_id
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_010,1.0,0.1667,3,GSM_010
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_011,0.6667,0.4,2,GSM_011
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_012,1.0,0.0,2,GSM_012
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_013,1.0,0.0,1,GSM_013
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_014,0.3333,0.0,3,GSM_014
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_015,0.6667,0.2727,5,GSM_015
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_016,1.0,0.1818,5,GSM_016
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_017,0.9,0.1579,9,GSM_017
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_018,0.8333,0.2727,5,GSM_018
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_019,1.0,0.3333,4,GSM_019
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_020,1.0,0.1111,4,GSM_020
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_041,1.0,0.3333,3,GSM_041
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_042,0.5,0.5,2,GSM_042
